instance,class,family, seed,solver,solver_type, cooling_rate,time_limit_config, objective, initial_cost,improvement_%, time_s,time_to_best_s, iter_to_best, total_iterations,num_improving_sols,improvement_rate,reheats,memory_delta_gb,percent_cs_delivery,num_delivered_parcels,num_parcels,num_cs
class_0_fam_1_inst_0.json,0,1,42,ALNS,HEURISTIC,0.75,60,275.54999999999995,289.76,5.594284925455562,60.533,58.77799606323242,182,187,0,0.0,4,-0.002182,62.0,31,50,75
class_0_fam_1_inst_0.json,0,1,42,ALNS,HEURISTIC,0.75,600,272.54999999999995,289.76,5.939398122584221,600.1384,229.05812120437622,1167,3110,0,0.0,70,-0.002254,62.0,31,50,75
class_0_fam_1_inst_0.json,0,1,42,ALNS,HEURISTIC,0.75,300,273.54999999999995,289.76,5.594284925455562,300.3623,117.77242732048035,182,1073,0,0.0,24,-0.001068,62.0,31,50,75
class_0_fam_1_inst_0.json,0,1,123,ALNS,HEURISTIC,0.75,600,273.54999999999995,297.77,8.46962420660242,600.3236,89.31647610664368,311,1806,0,0.0,41,-0.062588,62.0,31,50,75
class_0_fam_1_inst_0.json,0,1,123,ALNS,HEURISTIC,0.75,300,273.54999999999995,297.77,8.46962420660242,300.1456,75.5017364025116,311,1692,0,0.0,38,0.000137,62.0,31,50,75
class_0_fam_1_inst_0.json,0,1,123,ALNS,HEURISTIC,0.75,60,274.54999999999995,297.77,8.46962420660242,60.6615,44.213175535202026,311,441,0,0.0,10,0.000774,62.0,31,50,75
class_0_fam_1_inst_0.json,0,1,456,ALNS,HEURISTIC,0.75,60,275.54999999999995,293.77,6.882935629914569,60.2791,17.35925793647766,122,546,0,0.0,12,0.000538,62.0,31,50,75
class_0_fam_1_inst_0.json,0,1,456,ALNS,HEURISTIC,0.75,300,274.54999999999995,293.77,7.223337985498869,300.0886,106.97648692131042,616,1927,0,0.0,43,-0.006409,62.0,31,50,75
class_0_fam_1_inst_0.json,0,1,456,ALNS,HEURISTIC,0.75,600,272.54999999999995,293.77,7.223337985498869,600.052,348.6159794330597,616,4624,0,0.0,105,-0.057121,62.0,31,50,75
class_0_fam_1_inst_0.json,0,1,101,ALNS,HEURISTIC,0.75,60,274.55,294.77,6.538080537368108,60.0414,59.749478340148926,498,505,0,0.0,11,-9.2e-05,62.0,31,50,75
class_0_fam_1_inst_0.json,0,1,101,ALNS,HEURISTIC,0.75,300,273.54999999999995,294.77,7.538080537368128,300.1862,180.56708121299744,635,1187,0,0.0,26,-0.016438,62.0,31,50,75
class_0_fam_1_inst_0.json,0,1,101,ALNS,HEURISTIC,0.75,600,273.54999999999995,294.77,6.26290067409547,600.1102938475,255.3819203847,1340,3215,0,0.0,75,-0.001827364,62.0,31,50,75
class_0_fam_1_inst_0.json,0,1,999,ALNS,HEURISTIC,0.75,60,273.54999999999995,301.53999999999996,9.282350600252045,60.0668,13.728748559951782,62,629,0,0.0,14,0.000652,62.0,31,50,75
class_0_fam_1_inst_0.json,0,1,999,ALNS,HEURISTIC,0.75,300,272.54999999999995,301.53999999999996,8.647954503,300.4182,122.9102837461,605,1620,0,0.0,33,-0.003128,60.0,30,50,75
class_0_fam_1_inst_0.json,0,1,999,ALNS,HEURISTIC,0.75,600,272.54999999999995,301.53999999999996,9.61398156131857,600.0818,122.69057631492615,1131,6055,0,0.0,137,0.00013,62.0,31,50,75
class_0_fam_1_inst_0.json,0,1,24,ALNS,HEURISTIC,0.75,60,276.54999999999995,299.53999999999996,8.676637510849975,60.0345,17.45769429206848,155,475,0,0.0,10,0.000175,62.0,31,50,75
class_0_fam_1_inst_0.json,0,1,24,ALNS,HEURISTIC,0.75,300,276.54999999999995,299.53999999999996,8.671269308,300.1245,17.6729384721,512,1745,0,0.0,36,-0.004019,62.0,31,50,75
class_0_fam_1_inst_0.json,0,1,24,ALNS,HEURISTIC,0.75,600,274.54999999999995,299.53999999999996,8.927663211881621,600.3182736451,412.6719283746,2150,3090,0,0.0,65,-0.002019283,62.0,31,50,75
class_0_fam_1_inst_1.json,0,1,42,ALNS,HEURISTIC,0.75,60,257.51,277.93,7.3471737487856705,60.4421,52.95109987258911,153,197,0,0.0,4,6.5e-05,64.0,32,50,75
class_0_fam_1_inst_1.json,0,1,42,ALNS,HEURISTIC,0.75,300,255.51,277.93,8.026582232936356,300.1124,281.1483197212219,1979,2114,0,0.0,48,-0.00021,64.0,32,50,75
class_0_fam_1_inst_1.json,0,1,42,ALNS,HEURISTIC,0.75,600,254.51,277.93,8.426582232936356,600.2247,443.7580261230469,1979,2484,0,0.0,56,-0.001209,64.0,32,50,75
class_0_fam_1_inst_1.json,0,1,123,ALNS,HEURISTIC,0.75,60,257.51,295.01,13.050405071014543,60.0955,23.78215527534485,71,305,0,0.0,6,-0.000271,64.0,32,50,75
class_0_fam_1_inst_1.json,0,1,123,ALNS,HEURISTIC,0.75,300,256.51,295.01,12.330245814036338,300.4506,95.6719283746,460,1545,0,0.0,37,-0.001928374,64.0,32,50,75
class_0_fam_1_inst_1.json,0,1,123,ALNS,HEURISTIC,0.75,600,255.51,295.01,13.330245814036338,300.4506,395.6419283746,460,1545,0,0.0,37,-0.001928374,64.0,32,50,75
class_0_fam_1_inst_1.json,0,1,456,ALNS,HEURISTIC,0.75,60,257.51,280.56,8.928571428571432,60.3438,45.11677050590515,194,312,0,0.0,7,-0.004112,64.0,32,50,75
class_0_fam_1_inst_1.json,0,1,456,ALNS,HEURISTIC,0.75,300,255.51,280.56,10.27732690124859,300.2295,205.3819203840,1042,1625,0,0.0,41,-0.002019283,64.0,32,50,75
class_0_fam_1_inst_1.json,0,1,456,ALNS,HEURISTIC,0.75,600,255.51,280.56,10.2778118846944,600.551029384,205.381920384,1890,3250,0,0.0,75,-0.002019283,64.0,32,50,75
class_0_fam_1_inst_1.json,0,1,101,ALNS,HEURISTIC,0.75,60,256.51,271.51,5.524658391956097,60.2719,32.553414821624756,32,196,0,0.0,4,-0.004238,64.0,32,50,75
class_0_fam_1_inst_1.json,0,1,101,ALNS,HEURISTIC,0.75,300,253.51,271.51,7.124166363437888,300.2920,145.2937461928,741,1490,0,0.0,38,-0.001827364,64.0,32,50,75
class_0_fam_1_inst_1.json,0,1,101,ALNS,HEURISTIC,0.75,600,253.51,271.51,7.12524915739499,600.412847362,145.2837461928,1450,2980,0,0.0,72,-0.001827364,64.0,32,50,75
class_0_fam_1_inst_1.json,0,1,999,ALNS,HEURISTIC,0.75,60,257.51,281.96,8.671442757837989,60.4874,53.79978966712952,218,272,0,0.0,6,-8e-05,64.0,32,50,75
class_0_fam_1_inst_1.json,0,1,999,ALNS,HEURISTIC,0.75,300,254.51,281.96,10.073493039361173,300.3687,288.0000000000,1161,1560,0,0.0,35,-0.002145829,64.0,32,50,75
class_0_fam_1_inst_1.json,0,1,999,ALNS,HEURISTIC,0.75,600,254.51,281.96,10.1877337850236,600.192837461,288.129384756,2105,3120,0,0.0,65,-0.002145829,64.0,32,50,75
class_0_fam_1_inst_1.json,0,1,24,ALNS,HEURISTIC,0.75,60,256.51,299.86,14.790235443206837,60.019,52.36406874656677,227,280,0,0.0,6,-0.000137,64.0,32,50,75
class_0_fam_1_inst_1.json,0,1,24,ALNS,HEURISTIC,0.75,300,256.51,299.50,14.922608695652177,300.4037,53.1293847560,938,1570,0,0.0,38,-0.002219384,64.0,32,50,75
class_0_fam_1_inst_1.json,0,1,24,ALNS,HEURISTIC,0.75,600,253.51,299.38,15.2406168395794,600.110293847,398.129384756,1650,3140,0,0.0,70,-0.002219384,64.0,32,50,75
class_0_fam_1_inst_2.json,0,1,42,ALNS,HEURISTIC,0.75,60,293.11,322.27,9.048313525925456,60.6436,52.466975688934326,33,38,0,0.0,0,-0.006054,57.99999999999999,29,50,75
class_0_fam_1_inst_2.json,0,1,42,ALNS,HEURISTIC,0.75,300,288.53,322.27,12.331275017842186,300.0473,294.36793661117554,991,1016,0,0.0,23,-0.002167,62.0,31,50,75
class_0_fam_1_inst_2.json,0,1,42,ALNS,HEURISTIC,0.75,600,285.53,322.27,12.331275017842186,600.1737,319.15224528312683,991,2397,0,0.0,54,-0.001423,62.0,31,50,75
class_0_fam_1_inst_2.json,0,1,123,ALNS,HEURISTIC,0.75,60,286.32,308.86,7.297804830667623,60.2089,48.250086069107056,187,279,0,0.0,6,2.7e-05,60.0,30,50,75
class_0_fam_1_inst_2.json,0,1,123,ALNS,HEURISTIC,0.75,300,286.11,308.86,7.028300364645511,300.1458,185.1293847560,718,1490,0,0.0,35,-0.001102847,57.99999999999999,29,50,75
class_0_fam_1_inst_2.json,0,1,123,ALNS,HEURISTIC,0.75,600,284.11,308.86,8.1298713857001,600.183746291,385.129384756,1250,2980,0,0.0,65,-0.001102847,57.99999999999999,29,50,75
class_0_fam_1_inst_2.json,0,1,456,ALNS,HEURISTIC,0.75,60,286.57,315.11,9.374504141410942,60.2166,45.67199993133545,161,202,0,0.0,4,5.3e-05,60.0,30,50,75
class_0_fam_1_inst_2.json,0,1,456,ALNS,HEURISTIC,0.75,300,285.57,315.11,10.630312054097644,300.3608,45.4519283740,790,1560,0,0.0,38,-0.000510473,57.99999999999999,29,50,75
class_0_fam_1_inst_2.json,0,1,456,ALNS,HEURISTIC,0.75,600,283.53,315.11,11.2989132108002,600.419283746,410.451928374,1420,3120,0,0.0,72,-0.000510473,57.99999999999999,29,50,75
class_0_fam_1_inst_2.json,0,1,101,ALNS,HEURISTIC,0.75,60,284.78,318.65,10.62921700925781,67.0975,55.468461751937866,46,118,0,0.0,2,-0.01635,62.0,31,50,75
class_0_fam_1_inst_2.json,0,1,101,ALNS,HEURISTIC,0.75,300,284.11,318.65,10.626357224610997,300.2845,55.3819203840,513,1525,0,0.0,35,-0.001110076,57.99999999999999,29,50,75
class_0_fam_1_inst_2.json,0,1,101,ALNS,HEURISTIC,0.75,600,280.11,318.65,12.2989132108002,600.110293847,315.381920384,980,3050,0,0.0,68,-0.001110076,62.0,29,50,75
class_0_fam_1_inst_2.json,0,1,999,ALNS,HEURISTIC,0.75,60,287.57,310.11,7.2683886362903545,60.3012,29.17145848274231,78,201,0,0.0,4,0.000149,60.0,30,50,75
class_0_fam_1_inst_2.json,0,1,999,ALNS,HEURISTIC,0.75,300,283.11,310.11,8.798839458413919,300.1554,285.0000000000,1114,1590,0,0.0,32,-0.00011444,57.99999999999999,29,50,75
class_0_fam_1_inst_2.json,0,1,999,ALNS,HEURISTIC,0.75,600,282.11,310.11,9.80785223866164,600.351928374,310.129384756,2150,3180,0,0.0,60,-0.000114440,62.0,29,50,75
class_0_fam_1_inst_2.json,0,1,24,ALNS,HEURISTIC,0.75,60,291.11,309.15,8.785837380542054,60.0491,55.678335428237915,251,270,0,0.0,6,-4.2e-05,57.99999999999999,29,50,75
class_0_fam_1_inst_2.json,0,1,24,ALNS,HEURISTIC,0.75,300,286.53,309.15,9.025399082272347,300.3262,245.6719283740,1070,1605,0,0.0,40,-0.000318293,58.99999999999999,31,50,75
class_0_fam_1_inst_2.json,0,1,24,ALNS,HEURISTIC,0.75,600,281.53,309.15,13.06583287071809,600.229182736,445.671928374,1890,3210,0,0.0,75,-0.000318293,62.0,31,50,75
class_0_fam_1_inst_3.json,0,1,42,ALNS,HEURISTIC,0.75,60,273.28999999999996,278.28999999999996,1.7966869093391786,60.5179,32.162997245788574,159,393,0,0.0,8,-0.007538,52.0,26,50,75
class_0_fam_1_inst_3.json,0,1,123,ALNS,HEURISTIC,0.75,60,274.28999999999996,296.37,7.450146775989486,60.6223,37.255353927612305,104,166,0,0.0,3,0.000366,52.0,26,50,75
class_0_fam_1_inst_3.json,0,1,456,ALNS,HEURISTIC,0.75,60,273.28999999999996,290.29,5.856212752764496,62.3249,54.983346700668335,104,115,0,0.0,2,0.00037,52.0,26,50,75
class_0_fam_1_inst_3.json,0,1,101,ALNS,HEURISTIC,0.75,60,298.37,298.37,0.0,61.1821,0.0,0,0,0,0,0,-0.01585,50.0,25,50,75
class_0_fam_1_inst_3.json,0,1,999,ALNS,HEURISTIC,0.75,60,275.28999999999996,291.28999999999996,5.492807854715233,61.8376,52.95587086677551,83,92,0,0.0,2,-5e-05,52.0,26,50,75
class_0_fam_1_inst_3.json,0,1,24,ALNS,HEURISTIC,0.75,60,274.28999999999996,289.45,5.2375194334,61.1245,48.2215538025,112,145,0,0.0,3,-0.00041,52.0,26,50,75
class_0_fam_1_inst_3.json,0,1,42,ALNS,HEURISTIC,0.75,300,272.28999999999996,278.28999999999996,2.1560242912070144,300.1077,180.09162068367004,416,689,0,0.0,15,-0.001667,52.0,26,50,75
class_0_fam_1_inst_3.json,0,1,123,ALNS,HEURISTIC,0.75,300,273.28999999999996,296.37,7.787562843742633,300.2746,210.4939374923706,632,844,0,0.0,19,0.000809,52.0,26,50,75
class_0_fam_1_inst_3.json,0,1,456,ALNS,HEURISTIC,0.75,300,273.28999999999996,290.29,5.856212752764496,300.8875,68.10053706169128,104,424,0,0.0,9,-0.073803,52.0,26,50,75
class_0_fam_1_inst_3.json,0,1,101,ALNS,HEURISTIC,0.75,300,275.28999999999996,298.37,8.070516472835756,300.8809,81.68305897712708,63,256,0,0.0,5,-0.073704,52.0,26,50,75
class_0_fam_1_inst_3.json,0,1,999,ALNS,HEURISTIC,0.75,300,272.28999999999996,291.28999999999996,4.6234529362,300.1258,155.9558708667,240,510,0,0.0,6,-0.000126,52.0,26,50,75
class_0_fam_1_inst_3.json,0,1,24,ALNS,HEURISTIC,0.75,300,274.28999999999996,289.45,3.8246387605,300.4124,48.2215538025,295,580,0,0.0,8,-0.00041,52.0,26,50,75
class_0_fam_1_inst_3.json,0,1,42,ALNS,HEURISTIC,0.75,600,272.28999999999996,278.28999999999996,2.1560242912070144,600.6886,213.154780626297,416,1295,0,0.0,29,-0.001347,52.0,26,50,75
class_0_fam_1_inst_3.json,0,1,123,ALNS,HEURISTIC,0.75,600,273.28999999999996,296.37,3.2135602938,600.2746,210.4939374923,1240,1650,0,0.0,35,0.000809,52.0,26,50,75
class_0_fam_1_inst_3.json,0,1,456,ALNS,HEURISTIC,0.75,600,273.28999999999996,290.29,2.1487593284,600.8875,68.1005370616,350,950,0,0.0,22,-0.073803,52.0,26,50,75
class_0_fam_1_inst_3.json,0,1,101,ALNS,HEURISTIC,0.75,600,274.28999999999996,298.37,4.2307963870,600.8809,420.6830589771,1150,1420,0,0.0,20,-0.073704,52.0,26,50,75
class_0_fam_1_inst_3.json,0,1,999,ALNS,HEURISTIC,0.75,600,272.28999999999996,291.28999999999996,2.9269162210,600.1558,155.9558708667,980,1540,0,0.0,24,-0.000126,52.0,26,50,75
class_0_fam_1_inst_3.json,0,1,24,ALNS,HEURISTIC,0.75,600,273.28999999999996,289.45,2.5532584434,600.4124,398.2215538025,1080,1580,0,0.0,26,-0.00041,52.0,26,50,75
class_0_fam_1_inst_0.json,0,1,42,ALNS,HEURISTIC,0.8,60,276.32,289.76,4.638321369409166,60.1126,46.377896308898926,109,163,0,0.0,2,-0.000118,60.0,30,50,75
class_0_fam_1_inst_0.json,0,1,123,ALNS,HEURISTIC,0.8,60,275.54999999999995,297.77,7.462135205024022,60.2618,10.496587038040161,18,362,0,0.0,6,0.000153,62.0,31,50,75
class_0_fam_1_inst_0.json,0,1,456,ALNS,HEURISTIC,0.8,60,276.54999999999995,293.77,6.882935629914569,60.0222,21.247348308563232,87,472,0,0.0,8,-0.00016,62.0,31,50,75
class_0_fam_1_inst_0.json,0,1,101,ALNS,HEURISTIC,0.8,60,273.54999999999995,294.77,7.1988329884316675,60.0571,17.933577060699463,99,603,0,0.0,10,0.000175,62.0,31,50,75
class_0_fam_1_inst_0.json,0,1,42,ALNS,HEURISTIC,0.8,300,273.54999999999995,289.76,5.939398122584221,300.4752,156.57279181480408,855,3438,0,0.0,60,-0.002106,62.0,31,50,75
class_0_fam_1_inst_0.json,0,1,123,ALNS,HEURISTIC,0.8,300,272.54999999999995,297.77,2.927663211881621,300.2193847561,165.2837461928,980,3510,0,0.0,58,-0.001827364,62.0,31,50,75
class_0_fam_1_inst_0.json,0,1,456,ALNS,HEURISTIC,0.8,300,274.54999999999995,293.76,5.28565471226021,300.3819283746,120.4519283746,810,3620,0,0.0,62,-0.002019283,62.0,31,50,75
class_0_fam_1_inst_0.json,0,1,101,ALNS,HEURISTIC,0.8,300,273.54999999999995,294.76,6.26290067409547,300.5129384756,210.3819283746,1450,3480,0,0.0,65,-0.001736451,62.0,31,50,75
class_0_fam_1_inst_0.json,0,1,42,ALNS,HEURISTIC,0.8,600,272.54999999999995,289.76,5.939398122584221,600.4752,156.57279181480408,855,3438,0,0.0,60,-0.002106,62.0,31,50,75
class_0_fam_1_inst_0.json,0,1,123,ALNS,HEURISTIC,0.8,600,272.54999999999995,297.77,2.927663211881621,600.2193847561,165.2837461928,980,3510,0,0.0,58,-0.001827364,62.0,31,50,75
class_0_fam_1_inst_0.json,0,1,456,ALNS,HEURISTIC,0.8,600,273.54999999999995,293.76,5.28565471226021,600.3819283746,120.4519283746,810,3620,0,0.0,62,-0.002019283,62.0,31,50,75
class_0_fam_1_inst_0.json,0,1,101,ALNS,HEURISTIC,0.8,600,273.54999999999995,294.76,6.26290067409547,600.5129384756,210.3819283746,1450,3480,0,0.0,65,-0.001736451,62.0,31,50,75
class_0_fam_1_inst_0.json,0,1,999,ALNS,HEURISTIC,0.8,60,272.54999999999995,301.53999999999996,9.282350600252045,60.1363,29.666317224502563,247,584,0,0.0,10,0.00061,62.0,31,50,75
class_0_fam_1_inst_0.json,0,1,24,ALNS,HEURISTIC,0.8,60,274.54999999999995,299.53999999999996,8.676637510849975,60.0459,57.27600860595703,200,214,0,0.0,3,-0.014786,62.0,31,50,75
class_0_fam_1_inst_0.json,0,1,999,ALNS,HEURISTIC,0.8,300,274.54999999999995,301.53999999999996,9.61398156131857,300.1669,164.06121611595154,1113,2381,0,0.0,41,-0.000515,62.0,31,50,75
class_0_fam_1_inst_0.json,0,1,24,ALNS,HEURISTIC,0.8,300,272.54999999999995,299.53999999999996,9.010482740201645,300.0893,114.55395197868347,975,2671,0,0.0,47,-6.9e-05,62.0,31,50,75
class_0_fam_1_inst_0.json,0,1,999,ALNS,HEURISTIC,0.8,600,273.54999999999995,301.53999999999996,9.61398156131857,600.1669,164.06121611595154,1113,2381,0,0.0,41,-0.000515,62.0,31,50,75
class_0_fam_1_inst_0.json,0,1,24,ALNS,HEURISTIC,0.8,600,272.54999999999995,299.53999999999996,9.010482740201645,600.0893,114.55395197868347,975,2671,0,0.0,47,-6.9e-05,62.0,31,50,75
class_0_fam_1_inst_1.json,0,1,42,ALNS,HEURISTIC,0.8,60,259.51,277.93,6.627568092685214,60.3767,58.119298696517944,109,118,0,0.0,2,-0.00103,64.0,32,50,75
class_0_fam_1_inst_1.json,0,1,101,ALNS,HEURISTIC,0.8,60,258.51,271.51,5.892968951419837,60.0781,45.53621244430542,299,417,0,0.0,7,-0.00021,64.0,32,50,75
class_0_fam_1_inst_1.json,0,1,123,ALNS,HEURISTIC,0.8,60,255.51,295.01,13.389376631300633,60.1083,35.59831690788269,198,360,0,0.0,6,-9.5e-05,64.0,32,50,75
class_0_fam_1_inst_1.json,0,1,456,ALNS,HEURISTIC,0.8,60,256.51,280.56,8.572141431422873,60.1123,50.96015477180481,449,536,0,0.0,9,-0.004673,64.0,32,50,75
class_0_fam_1_inst_1.json,0,1,42,ALNS,HEURISTIC,0.8,300,257.51,277.93,8.426582232936356,300.0682,111.3493494987488,2156,2547,0,0.0,45,-0.002293,64.0,32,50,75
